Vs,Vg,Vd,Id,Is,Qs,Qd,Ig,Qg,Vb,Ib,Qb
6.00E-01,9.00E-01,1.90E-01,-1.05E-04,1.05E-04,8.59E-16,-1.60E-15,-2.15E-31,5.21E-15,0.00E+00,-9.29E-16,-4.08E-15
3.00E-01,1.00E+00,4.00E-02,-1.04E-04,1.04E-04,6.75E-16,-3.02E-15,4.83E-32,7.29E-15,0.00E+00,-3.10E-16,-4.56E-15
3.00E-01,1.10E+00,5.00E-02,-1.04E-04,1.04E-04,6.50E-16,-3.48E-15,9.01E-32,8.03E-15,0.00E+00,-8.36E-17,-4.81E-15
6.00E-01,1.20E+00,3.20E-01,-1.04E-04,1.04E-04,7.65E-16,-2.34E-15,-1.96E-31,6.62E-15,0.00E+00,-3.41E-16,-4.65E-15
6.00E-01,8.00E-01,1.20E-01,-1.04E-04,1.04E-04,8.96E-16,-1.53E-15,-1.48E-31,4.96E-15,0.00E+00,4.38E-16,-3.95E-15
6.00E-01,1.00E+00,2.60E-01,-1.03E-04,1.03E-04,8.24E-16,-1.70E-15,-6.12E-32,5.50E-15,0.00E+00,-8.17E-15,-4.23E-15
6.00E-01,1.10E+00,3.00E-01,-1.03E-04,1.03E-04,7.93E-16,-1.96E-15,-3.22E-32,5.98E-15,0.00E+00,-4.25E-16,-4.43E-15
3.00E-01,1.20E+00,6.00E-02,-1.03E-04,1.03E-04,6.25E-16,-3.95E-15,-2.19E-31,8.78E-15,0.00E+00,5.09E-17,-5.07E-15
6.00E-01,7.00E-01,5.00E-02,-1.02E-04,1.02E-04,9.35E-16,-1.46E-15,-8.85E-32,4.73E-15,0.00E+00,7.07E-15,-3.82E-15
3.00E-01,9.00E-01,3.00E-02,-1.02E-04,1.02E-04,7.00E-16,-2.59E-15,-1.16E-31,6.58E-15,0.00E+00,-1.66E-16,-4.31E-15
6.00E-01,9.00E-01,2.00E-01,-1.02E-04,1.02E-04,8.58E-16,-1.57E-15,-2.51E-31,5.17E-15,0.00E+00,-1.12E-15,-4.08E-15
6.00E-01,1.20E+00,3.30E-01,-1.01E-04,1.01E-04,7.65E-16,-2.31E-15,9.33E-32,6.59E-15,0.00E+00,-4.60E-16,-4.66E-15
